Key,Type,Desc,English (United Kingdom) [en]
AllLayers_apply_order,Text,,"All layers"
All_apply_order,Text,,"Apply to all"
Awful,Text,,"Awful"
BlankBehaviour,Text,,"Default"
Blueprints_apply_order,Text,,"Blueprint phase"
BuildingWealth_info,Text,,"Combined value of all buildings through time"
BuildingWealth_title,Text,,"Buildings Value"
Day Time,Text,,"Time of Day"
DefaultFont,Text,,"UIResources/Base/Fonts/DefaultFont"
Dull,Text,,"Uninspiring"
EnemyBehaviour,Text,,"Enemy"
ExtremelyImpressive,Text,,"Palatial"
FoodAmount_info,Text,,"Combined nutrition stockpile amount through time"
FoodAmount_title,Text,,"Food Stored"
Foundations_apply_order,Text,,"Building phase"
Good,Text,,"Good"
Inebriated_effector,Text,,"Inebriated"
InfluenceAmount_info,Text,,"As your settlement grows, so does your influence in the region.\n\nTo gain influence, you must enrich your wealth by amassing resources and constructing buildings.\nVictory in battle and repelling enemy raids increases your influence even faster.\n\nReaching 100% influence means your settlement is the most influential in the region."
InfluenceAmount_title,Text,,"Influence"
Mediocre,Text,,"Modest"
MoodAverage_info,Text,,"Average mood through time"
MoodAverage_title,Text,,"Settler Mood"
Piles_apply_order,Text,,"Resource"
PopulationCount_info,Text,,"Number of settlers through time"
PopulationCount_title,Text,,"Population Count"
ResourceWealth_info,Text,,"Combined value of all resources through time"
ResourceWealth_title,Text,,"Resources Value"
Seasons,Text,,"Seasons"
Set Autumn,Text,,"Set Autumn"
Set Dawn,Text,,"Set Dusk"
Set Dusk,Text,,"Set Dawn"
Set Midnight,Text,,"Set Midnight"
Set Noon,Text,,"Set Noon"
Set Spring,Text,,"Set Spring"
Set Summer,Text,,"Set Summer"
Set Winter,Text,,"Set Winter"
Set fog,Text,,"Fog"
Set rain,Text,,"Starts raining"
Set snow,Text,,"Starts snowing"
SingleLayer_apply_order,Text,,"Single layer"
SlightlyImpressive,Text,,"Superior"
SomewhatImpressive,Text,,"Luxurious"
TitleFont,Text,,"UIResources/Base/Fonts/DefaultFonts/Almendra-Bold SDF"
TotalWealth_info,Text,,"Combined value of resources and buildings through time"
TotalWealth_title,Text,,"Total Wealth"
TraderBehaviour,Text,,"Trader"
TraderBodyguardBehaviour,Text,,"Trader Bodyguard"
VeryImpressive,Text,,"Opulent"
Weather,Text,,"Weather"
abort_event_participation_confirm,Text,,"Leaving the event early may yield negative mood modifiers for this settler. Are you sure you want to proceed?"
action_AbortEventParticipation,Text,,"Leave Event"
action_AllowFlammableProjectile,Text,,"Use Fire Arrows"
action_ExpandZone,Text,,"Expand Zone"
action_FlammableProjectileAllowed,Text,,"Stop Using Fire Arrows "
action_RecruitPrisoner,Text,,"Recruit"
